m,TagName,
"2008-07-01 00:00:00","c#","3"
"2008-08-01 00:00:00","assembly","7"
"2008-08-01 00:00:00","c","78"
"2008-08-01 00:00:00","c#","492"
"2008-08-01 00:00:00","c++","157"
"2008-08-01 00:00:00","delphi","11"
"2008-08-01 00:00:00","java","214"
"2008-08-01 00:00:00","javascript","158"
"2008-08-01 00:00:00","perl","26"
"2008-08-01 00:00:00","php","154"
"2008-08-01 00:00:00","python","116"
"2008-08-01 00:00:00","ruby","66"
"2008-09-01 00:00:00","assembly","26"
"2008-09-01 00:00:00","c","292"
"2008-09-01 00:00:00","c#","1525"
"2008-09-01 00:00:00","c++","699"
"2008-09-01 00:00:00","delphi","93"
"2008-09-01 00:00:00","java","1032"
"2008-09-01 00:00:00","javascript","579"
"2008-09-01 00:00:00","perl","120"
"2008-09-01 00:00:00","php","411"
"2008-09-01 00:00:00","python","507"
"2008-09-01 00:00:00","r","3"
"2008-09-01 00:00:00","ruby","274"
"2008-10-01 00:00:00","assembly","15"
"2008-10-01 00:00:00","c","267"
"2008-10-01 00:00:00","c#","1816"
"2008-10-01 00:00:00","c++","743"
"2008-10-01 00:00:00","delphi","101"
"2008-10-01 00:00:00","java","1053"
"2008-10-01 00:00:00","javascript","661"
"2008-10-01 00:00:00","perl","109"
"2008-10-01 00:00:00","php","513"
"2008-10-01 00:00:00","python","480"
"2008-10-01 00:00:00","ruby","234"
"2008-11-01 00:00:00","assembly","13"
"2008-11-01 00:00:00","c","221"
"2008-11-01 00:00:00","c#","1510"
"2008-11-01 00:00:00","c++","658"
"2008-11-01 00:00:00","delphi","129"
"2008-11-01 00:00:00","java","856"
"2008-11-01 00:00:00","javascript","488"
"2008-11-01 00:00:00","perl","79"
"2008-11-01 00:00:00","php","417"
"2008-11-01 00:00:00","python","417"
"2008-11-01 00:00:00","r","1"
"2008-11-01 00:00:00","ruby","143"
"2008-12-01 00:00:00","assembly","17"
"2008-12-01 00:00:00","c","154"
"2008-12-01 00:00:00","c#","1415"
"2008-12-01 00:00:00","c++","553"
"2008-12-01 00:00:00","delphi","112"
"2008-12-01 00:00:00","java","707"
"2008-12-01 00:00:00","javascript","544"
"2008-12-01 00:00:00","perl","121"
"2008-12-01 00:00:00","php","403"
"2008-12-01 00:00:00","python","408"
"2008-12-01 00:00:00","r","1"
"2008-12-01 00:00:00","ruby","145"
"2009-01-01 00:00:00","assembly","19"
"2009-01-01 00:00:00","c","271"
"2009-01-01 00:00:00","c#","2070"
"2009-01-01 00:00:00","c++","745"
"2009-01-01 00:00:00","delphi","141"
"2009-01-01 00:00:00","java","1001"
"2009-01-01 00:00:00","javascript","690"
"2009-01-01 00:00:00","perl","134"
"2009-01-01 00:00:00","php","504"
"2009-01-01 00:00:00","python","577"
"2009-01-01 00:00:00","r","8"
"2009-01-01 00:00:00","ruby","190"
"2009-01-01 00:00:00","swift","1"
"2009-02-01 00:00:00","assembly","31"
"2009-02-01 00:00:00","c","284"
"2009-02-01 00:00:00","c#","2301"
"2009-02-01 00:00:00","c++","719"
"2009-02-01 00:00:00","delphi","152"
"2009-02-01 00:00:00","java","1019"
"2009-02-01 00:00:00","javascript","821"
"2009-02-01 00:00:00","perl","150"
"2009-02-01 00:00:00","php","618"
"2009-02-01 00:00:00","python","543"
"2009-02-01 00:00:00","r","8"
"2009-02-01 00:00:00","ruby","249"
"2009-02-01 00:00:00","swift","1"
"2009-03-01 00:00:00","assembly","20"
"2009-03-01 00:00:00","c","363"
"2009-03-01 00:00:00","c#","2749"
"2009-03-01 00:00:00","c++","896"
"2009-03-01 00:00:00","delphi","141"
"2009-03-01 00:00:00","java","1220"
"2009-03-01 00:00:00","javascript","869"
"2009-03-01 00:00:00","perl","114"
"2009-03-01 00:00:00","php","741"
"2009-03-01 00:00:00","python","691"
"2009-03-01 00:00:00","r","4"
"2009-03-01 00:00:00","ruby","282"
"2009-03-01 00:00:00","swift","1"
"2009-04-01 00:00:00","assembly","44"
"2009-04-01 00:00:00","c","385"
"2009-04-01 00:00:00","c#","2849"
"2009-04-01 00:00:00","c++","880"
"2009-04-01 00:00:00","delphi","168"
"2009-04-01 00:00:00","java","1308"
"2009-04-01 00:00:00","javascript","886"
"2009-04-01 00:00:00","perl","143"
"2009-04-01 00:00:00","php","811"
"2009-04-01 00:00:00","python","679"
"2009-04-01 00:00:00","r","11"
"2009-04-01 00:00:00","ruby","310"
"2009-05-01 00:00:00","assembly","37"
"2009-05-01 00:00:00","c","404"
"2009-05-01 00:00:00","c#","3080"
"2009-05-01 00:00:00","c++","1004"
"2009-05-01 00:00:00","delphi","182"
"2009-05-01 00:00:00","java","1570"
"2009-05-01 00:00:00","javascript","1229"
"2009-05-01 00:00:00","perl","169"
"2009-05-01 00:00:00","php","987"
"2009-05-01 00:00:00","python","886"
"2009-05-01 00:00:00","r","2"
"2009-05-01 00:00:00","ruby","347"
"2009-05-01 00:00:00","swift","2"
"2009-06-01 00:00:00","assembly","37"
"2009-06-01 00:00:00","c","407"
"2009-06-01 00:00:00","c#","3347"
"2009-06-01 00:00:00","c++","1053"
"2009-06-01 00:00:00","delphi","201"
"2009-06-01 00:00:00","java","1801"
"2009-06-01 00:00:00","javascript","1310"
"2009-06-01 00:00:00","perl","213"
"2009-06-01 00:00:00","php","1312"
"2009-06-01 00:00:00","python","906"
"2009-06-01 00:00:00","r","4"
"2009-06-01 00:00:00","ruby","387"
"2009-07-01 00:00:00","assembly","27"
"2009-07-01 00:00:00","c","430"
"2009-07-01 00:00:00","c#","3885"
"2009-07-01 00:00:00","c++","1247"
"2009-07-01 00:00:00","delphi","244"
"2009-07-01 00:00:00","java","1945"
"2009-07-01 00:00:00","javascript","1499"
"2009-07-01 00:00:00","perl","222"
"2009-07-01 00:00:00","php","1695"
"2009-07-01 00:00:00","python","1023"
"2009-07-01 00:00:00","r","46"
"2009-07-01 00:00:00","ruby","439"
"2009-08-01 00:00:00","assembly","40"
"2009-08-01 00:00:00","c","456"
"2009-08-01 00:00:00","c#","3924"
"2009-08-01 00:00:00","c++","1231"
"2009-08-01 00:00:00","delphi","217"
"2009-08-01 00:00:00","java","1891"
"2009-08-01 00:00:00","javascript","1601"
"2009-08-01 00:00:00","perl","221"
"2009-08-01 00:00:00","php","1777"
"2009-08-01 00:00:00","python","999"
"2009-08-01 00:00:00","r","45"
"2009-08-01 00:00:00","ruby","445"
"2009-09-01 00:00:00","assembly","52"
"2009-09-01 00:00:00","c","514"
"2009-09-01 00:00:00","c#","3879"
"2009-09-01 00:00:00","c++","1302"
"2009-09-01 00:00:00","delphi","233"
"2009-09-01 00:00:00","java","2034"
